"","Year","Adopters"
"1",1995,19.443
"2",1996,19.443
"3",1997,19.443
"4",1998,19.443
"5",1999,21.707
"6",2000,23.321
"7",2001,40.966
"8",2002,48.49
"9",2003,48.49
"10",2004,69.381
"11",2005,69.381
"12",2006,81.872
"13",2007,95.405
"14",2008,95.405
"15",2009,95.405
"16",2010,107.945
"17",2011,120.797
"18",2012,120.797
"19",2013,185.803
"20",2014,185.803
"21",2015,399.357
"22",2016,418.836
