"","Year","Adopters"
"1",1998,16710
"2",1999,25298
"3",2000,25939
"4",2001,31548
"5",2002,31548
"6",2003,50789
"7",2004,55207
"8",2005,125111
"9",2006,136730
"10",2007,136730
"11",2008,141206
"12",2009,151141
"13",2010,151141
"14",2011,163983
"15",2012,181516
"16",2013,184834
"17",2014,189230
"18",2015,189230
"19",2016,189230
