"","Year","Adopters"
"1",1998,1
"2",1999,2
"3",2000,17
"4",2001,44
"5",2002,93
"6",2003,170
"7",2004,237
"8",2005,292
"9",2006,336
"10",2007,362
"11",2008,408
"12",2009,489
"13",2010,594
"14",2011,627
"15",2012,671
"16",2013,697
"17",2014,712
"18",2015,712
"19",2016,712
