"","Year","Adopters"
"1",1994,1
"2",1995,1
"3",1996,4
"4",1997,11
"5",1998,20
"6",1999,36
"7",2000,40
"8",2001,51
"9",2002,63
"10",2003,83
"11",2004,111
"12",2005,156
"13",2006,203
"14",2007,231
"15",2008,286
"16",2009,330
"17",2010,355
"18",2011,389
"19",2012,422
"20",2013,464
"21",2014,475
"22",2015,475
"23",2016,475
