"","Year","Adopters"
"1",1998,8
"2",1999,42
"3",2000,85
"4",2001,104
"5",2002,131
"6",2003,184
"7",2004,220
"8",2005,277
"9",2006,295
"10",2007,350
"11",2008,404
"12",2009,424
"13",2010,432
"14",2011,434
"15",2012,437
"16",2013,452
"17",2014,463
"18",2015,473
