"","Year","Adopters"
"1",1978,1
"2",1979,12
"3",1980,14
"4",1981,19
"5",1982,23
"6",1983,27
"7",1984,29
"8",1985,30
"9",1986,35
"10",1987,38
"11",1988,42
"12",1989,45
"13",1990,47
"14",1991,51
"15",1992,51
"16",1993,53
"17",1994,57
"18",1995,60
"19",1996,62
"20",1997,67
"21",1998,68
"22",1999,71
"23",2000,77
"24",2001,78
"25",2002,78
"26",2003,80
"27",2004,82
"28",2005,84
"29",2006,84
"30",2007,87
"31",2008,90
"32",2009,91
"33",2010,92
"34",2011,93
"35",2012,96
"36",2013,98
"37",2014,99
