"","Year","Adopters"
"1",2000,5
"2",2001,13
"3",2002,32
"4",2003,46
"5",2004,60
"6",2005,95
"7",2006,106
"8",2007,117
"9",2008,136
"10",2009,159
"11",2010,178
"12",2011,210
"13",2012,293
"14",2013,338
"15",2014,358
"16",2015,360
"17",2016,360
