"","Year","Adopters"
"1",1996,11
"2",1997,30
"3",1998,42
"4",1999,49
"5",2000,55
"6",2001,59
"7",2002,62
"8",2003,66
"9",2004,67
"10",2005,68
"11",2006,72
"12",2007,75
