"","Year","Adopters"
"1",1986,9
"2",1987,18
"3",1988,18
"4",1989,18
"5",1990,18
"6",1991,18
"7",1992,18
"8",1993,18
"9",1994,48
"10",1995,48
"11",1996,72
"12",1997,77
"13",1998,121
"14",1999,219
"15",2000,272
"16",2001,322
"17",2002,379
"18",2003,409
"19",2004,511
"20",2005,582
"21",2006,637
"22",2007,708
"23",2008,755
"24",2009,757
"25",2010,759
"26",2011,761
"27",2012,762
"28",2013,763
"29",2014,764
"30",2015,765
