"","Year","Adopters"
"1",1990,1
"2",1991,1
"3",1992,1
"4",1993,1
"5",1994,1
"6",1995,1
"7",1996,4
"8",1997,19
"9",1998,133
"10",1999,175
"11",2000,219
"12",2001,234
"13",2002,328
"14",2003,382
"15",2004,495
"16",2005,543
"17",2006,591
"18",2007,638
"19",2008,656
"20",2009,657
"21",2010,658
"22",2011,659
"23",2012,659
"24",2013,659
