"","Year","Adopters"
"1",1992,1
"2",1993,1
"3",1994,1
"4",1995,1
"5",1996,1
"6",1997,2
"7",1998,4
"8",1999,7
"9",2000,10
"10",2001,17
"11",2002,39
"12",2003,74
"13",2004,103
"14",2005,128
"15",2006,137
"16",2007,161
"17",2008,170
"18",2009,205
"19",2010,312
"20",2011,341
"21",2012,358
"22",2013,358
"23",2014,362
"24",2015,362
