"","Year","Adopters"
"1",1999,184
"2",2000,311
"3",2001,427
"4",2002,496
"5",2003,592
"6",2004,655
"7",2005,732
"8",2006,870
"9",2007,1040
"10",2008,1202
"11",2009,1438
"12",2010,1653
"13",2011,1804
"14",2012,1935
"15",2013,2001
"16",2014,2029
"17",2015,2046
"18",2016,2097
