"","Year","Adopters"
"1",1990,4
"2",1991,4
"3",1992,9
"4",1993,9
"5",1994,9
"6",1995,28
"7",1996,30
"8",1997,32
"9",1998,33
"10",1999,34
"11",2000,38
"12",2001,44
"13",2002,51
"14",2003,53
"15",2004,57
"16",2005,66
"17",2006,74
"18",2007,77
"19",2008,82
"20",2009,86
