"","Year","Adopters"
"1",1995,1
"2",1996,1
"3",1997,1
"4",1998,3
"5",1999,3
"6",2000,3
"7",2001,3
"8",2002,4
"9",2003,6
"10",2004,7
"11",2005,7
"12",2006,8
"13",2007,9
"14",2008,16
"15",2009,17
"16",2010,22
"17",2011,32
"18",2012,41
"19",2013,52
"20",2014,63
"21",2015,71
