"","Year","Adopters"
"1",1986,1
"2",1987,3
"3",1988,7
"4",1989,19
"5",1990,29
"6",1991,59
"7",1992,80
"8",1993,126
"9",1994,143
"10",1995,164
"11",1996,206
"12",1997,243
"13",1998,265
"14",1999,304
"15",2000,330
"16",2001,401
"17",2002,494
"18",2003,518
"19",2004,610
"20",2005,680
"21",2006,780
"22",2007,843
"23",2008,913
"24",2009,950
"25",2010,1018
"26",2011,1112
"27",2012,1203
"28",2013,1277
"29",2014,1307
"30",2015,1327
"31",2016,1341
